season	week	match	map	half	player	score	team	grabs	pops	drops	hold	captures	prevent	ndpops	returns	tags	pups	minutes	goregrab	longholds	goodhandoff	handoff	coregrab	retinbase	nrtags	holdagainst	pupscomp	pm	quickret	flaccids	gohandoff	keyret	saves	cohandoff	capspm	holdpm	grabspm	score%	holdpgrab	spark%	flcd%	tagspm	retpm	prepm	hapm	prepret	prepha	rib%	qr%	nrtpm	kd	kf	pup%
10	1	MAB//MBC	Monarch	1	Vials	32	MBC	17	17	16	160	1	22	1	7	10	2	10	8	2	5	9	0	2	3	354	18	-4	1	2	1	0	0	1	0.1	16	1.7	0.058823529411764705	9.411764705882353	0.5555555555555556	0.11764705882352941	1	0.7	2.2	35.4	3.142857142857143	0.062146892655367235	0.2857142857142857	0.14285714285714285	0.3	0.5882352941176471	0	0.1111111111111111
10	1	MAB//MBC	Monarch	1	Mr.Gone	23	MBC	9	16	8	35	1	63	8	4	9	1	10	2	0	1	3	1	1	5	354	18	-4	1	4	3	0	0	0	0.1	3.5	0.9	0.1111111111111111	3.888888888888889	0.3333333333333333	0.4444444444444444	0.9	0.4	6.3	35.4	15.75	0.17796610169491525	0.25	0.25	0.5	0.5625	0	0.05555555555555555
10	1	MAB//MBC	Monarch	1	Sundown	37	MBC	5	15	5	47	0	160	10	9	14	2	10	2	1	2	4	0	1	5	335	18	4	2	1	0	0	0	0	0	4.7	0.5	0	9.4	0.5	0.2	1.4	0.9	16	33.5	17.77777777777778	0.47761194029850745	0.1111111111111111	0.2222222222222222	0.5	0.9333333333333333	0	0.1111111111111111
10	1	MAB//MBC	Monarch	1	dywz	51	MBC	19	22	14	138	5	26	8	6	9	0	10	9	1	7	10	3	1	3	335	18	4	1	3	1	0	0	0	0.5	13.8	1.9	0.2631578947368421	7.2631578947368425	0.7	0.15789473684210525	0.9	0.6	2.6	33.5	4.333333333333333	0.07761194029850746	0.16666666666666666	0.16666666666666666	0.3	0.4090909090909091	0	0
10	1	MAB//MBC	Monarch	2	Altiger	37	MAB	21	23	19	97	2	18	4	9	13	2	10	3	0	3	7	1	1	4	295	18	-1	2	7	3	1	0	1	0.2	9.7	2.1	0.09523809523809523	4.619047619047619	0.42857142857142855	0.3333333333333333	1.3	0.9	1.8	29.5	2	0.061016949152542375	0.1111111111111111	0.2222222222222222	0.4	0.5652173913043478	0	0.1111111111111111
10	1	MAB//MBC	Monarch	2	BigBird	30	MAB	8	11	8	24	0	163	3	6	9	2	10	2	0	0	1	0	2	3	295	18	-1	1	4	0	0	0	0	0	2.4	0.8	0	3	0	0.5	0.9	0.6	16.3	29.5	27.166666666666668	0.5525423728813559	0.3333333333333333	0.16666666666666666	0.3	0.8181818181818182	0	0.1111111111111111
10	1	MAB//MBC	Monarch	2	Death Pickle	43	MBC	4	6	4	8	0	194	2	15	18	3	10	2	0	0	0	0	7	3	231	18	1	7	3	1	0	0	0	0	0.8	0.4	0	2	0	0.75	1.8	1.5	19.4	23.1	12.933333333333334	0.8398268398268398	0.4666666666666667	0.4666666666666667	0.3	3	0	0.16666666666666666
10	1	MAB//MBC	Monarch	2	Blue Dream	40	MBC	14	21	11	130	2	39	10	10	12	1	10	3	3	4	6	0	3	2	231	18	1	2	1	0	0	0	0	0.2	13	1.4	0.14285714285714285	9.285714285714286	0.6666666666666666	0.07142857142857142	1.2	1	3.9	23.1	3.9	0.16883116883116883	0.3	0.2	0.2	0.5714285714285714	1	0.05555555555555555
10	1	MAB//MBC	Monarch	2	Sundown	39	MAB	7	10	7	54	0	183	3	11	18	2	10	2	0	3	4	0	4	7	295	18	-1	4	1	2	0	0	0	0	5.4	0.7	0	7.714285714285714	0.75	0.14285714285714285	1.8	1.1	18.3	29.5	16.636363636363637	0.6203389830508474	0.36363636363636365	0.36363636363636365	0.7	1.8	0	0.1111111111111111
10	1	MAB//MBC	Monarch	2	Mr.Gone	40	MBC	5	12	5	28	0	152	7	19	22	1	10	3	0	2	3	0	8	3	231	18	1	9	1	1	2	0	0	0	2.8	0.5	0	5.6	0.6666666666666666	0.2	2.2	1.9	15.2	23.1	8	0.658008658008658	0.42105263157894735	0.47368421052631576	0.3	1.8333333333333333	0	0.05555555555555555
