season	week	game	half	team1	team2	t1score	t2score	t1OT	t2OT
10	1	EMERALD	-	NAB	NBC	5	9	0	0
10	1	Monarch	-	NAB	NBC	2	5	0	0
10	1	EMERALD	-	NTHE	NHGW	7	2	0	0
10	1	Monarch	-	NTHE	NHGW	5	0	0	0
10	1	EMERALD	-	NLSP	NCJ	4	15	0	0
10	1	Monarch	-	NLSP	NCJ	1	2	0	0
10	1	EMERALD	-	NCD	NTRS	8	7	0	0
10	1	Monarch	-	NCD	NTRS	7	3	0	0
10	1	EMERALD	-	NGB	NMT	8	3	0	0
10	1	Monarch	-	NGB	NMT	2	2	0	0
10	1	EMERALD	-	NPNS	NBAL	7	3	0	0
10	1	Monarch	-	NPNS	NBAL	4	4	0	0
10	1	EMERALD	-	NOD	NPBP	5	11	0	0
10	1	Monarch	-	NOD	NPBP	1	4	0	0
10	1	EMERALD	-	NBD	NHR	3	7	0	0
10	1	Monarch	-	NBD	NHR	1	2	0	0
10	2	Monarch	-	NLSP	NAB	2	6	0	0
10	2	Wormy	-	NLSP	NAB	1	7	0	0
10	2	Monarch	-	NBC	NCJ	5	2	0	0
10	2	Wormy	-	NBC	NCJ	3	6	0	0
10	2	Monarch	-	NCD	NTHE	4	8	0	0
10	2	Wormy	-	NCD	NTHE	3	4	0	0
10	2	Monarch	-	NHGW	NTRS	5	3	0	0
10	2	Wormy	-	NHGW	NTRS	4	3	0	0
10	2	Monarch	-	NOD	NGB	1	6	0	0
10	2	Wormy	-	NOD	NGB	3	6	0	0
10	2	Monarch	-	NMT	NPBP	4	2	0	0
10	2	Wormy	-	NMT	NPBP	3	2	0	0
10	2	Monarch	-	NBD	NPNS	5	3	0	0
10	2	Wormy	-	NBD	NPNS	7	4	0	0
10	2	Monarch	-	NBAL	NHR	7	5	0	0
10	2	Wormy	-	NBAL	NHR	5	2	0	0
10	3	Wormy	-	NAB	NTHE	4	1	0	0
10	3	TWP	-	NAB	NTHE	11	3	0	0
10	3	Wormy	-	NHGW	NBC	5	2	0	0
10	3	TWP	-	NHGW	NBC	1	3	0	0
10	3	Wormy	-	NCD	NLSP	4	4	0	0
10	3	TWP	-	NCD	NLSP	3	2	0	0
10	3	Wormy	-	NTRS	NCJ	2	6	0	0
10	3	TWP	-	NTRS	NCJ	1	8	0	0
10	3	Wormy	-	NGB	NPNS	4	4	0	0
10	3	TWP	-	NGB	NPNS	3	6	0	0
10	3	Wormy	-	NBAL	NMT	7	5	0	0
10	3	TWP	-	NBAL	NMT	7	1	0	0
10	3	Wormy	-	NBD	NOD	2	6	0	0
10	3	TWP	-	NBD	NOD	5	9	0	0
10	3	Wormy	-	NHR	NPBP	5	7	0	0
10	3	TWP	-	NHR	NPBP	3	6	0	0
10	4	TWP	-	NTRS	NAB	4	14	0	0
10	4	Boombox	-	NTRS	NAB	1	13	0	0
10	4	TWP	-	NBC	NLSP	2	5	0	0
10	4	Boombox	-	NBC	NLSP	7	4	0	0
10	4	TWP	-	NCJ	NTHE	3	7	0	0
10	4	Boombox	-	NCJ	NTHE	2	5	0	0
10	4	TWP	-	NHGW	NCD	6	11	0	0
10	4	Boombox	-	NHGW	NCD	5	0	0	0
10	4	TWP	-	NHR	NGB	6	9	0	0
10	4	Boombox	-	NHR	NGB	2	6	0	0
10	4	TWP	-	NMT	NOD	6	6	0	0
10	4	Boombox	-	NMT	NOD	0	8	0	0
10	4	TWP	-	NPBP	NPNS	11	2	0	0
10	4	Boombox	-	NPBP	NPNS	8	1	0	0
10	4	TWP	-	NBAL	NBD	3	2	0	0
10	4	Boombox	-	NBAL	NBD	2	3	0	0
10	5	Boombox	-	NAB	NHGW	6	4	0	0
10	5	Pilot	-	NAB	NHGW	5	6	0	0
10	5	Boombox	-	NTHE	NBC	3	1	0	0
10	5	Pilot	-	NTHE	NBC	6	4	0	0
10	5	Boombox	-	NLSP	NTRS	1	5	0	0
